VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2030,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2035,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2040,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2045,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2050,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2023,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2025,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2030,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2035,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2040,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2045,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2050,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2023,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2025,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2030,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2035,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2040,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2045,0.0
InterUndiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2035,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2035,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2023,-29.788142895508212
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2025,-53.02699474853975
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2030,-51.93335087820167
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2035,-53.047438060807536
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2040,-47.46572209461767
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2045,-44.30561361246461
InterUndiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2050,-47.26932956204726
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2035,0.0
