VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2023,91.07181236720919
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2025,-202.42948350830596
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2030,-164.05322853179868
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2035,-145.6815254654994
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2040,-119.1853523684791
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2045,-85.7054690028226
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Transmission,2050,-73.89051096817644
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2023,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2040,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRGas,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2023,0.0
