REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m3_d3_t15,2023,0.00010164
Greece,Elec_Demand,m3_d3_t16,2023,9.97E-05
Greece,Elec_Demand,m3_d3_t17,2023,0.000109942
Greece,Elec_Demand,m3_d3_t18,2023,0.000125469
Greece,Elec_Demand,m3_d3_t19,2023,0.000126975
Greece,Elec_Demand,m3_d3_t20,2023,0.000122781
Greece,Elec_Demand,m3_d3_t21,2023,0.000114523
Greece,Elec_Demand,m3_d3_t22,2023,0.000108737
Greece,Elec_Demand,m3_d3_t23,2023,9.92E-05
Greece,Elec_Demand,m3_d3_t24,2023,9.04E-05
Greece,Elec_Demand,m3_d4_t1,2023,0.001975381
Greece,Elec_Demand,m3_d4_t2,2023,0.001902044
Greece,Elec_Demand,m3_d4_t3,2023,0.001885484
Greece,Elec_Demand,m3_d4_t4,2023,0.001914819
Greece,Elec_Demand,m3_d4_t5,2023,0.002166532
Greece,Elec_Demand,m3_d4_t6,2023,0.002450892
Greece,Elec_Demand,m3_d4_t7,2023,0.00261602
Greece,Elec_Demand,m3_d4_t8,2023,0.002712068
Greece,Elec_Demand,m3_d4_t9,2023,0.002739511
Greece,Elec_Demand,m3_d4_t10,2023,0.002764114
Greece,Elec_Demand,m3_d4_t11,2023,0.002777362
Greece,Elec_Demand,m3_d4_t12,2023,0.002753705
Greece,Elec_Demand,m3_d4_t13,2023,0.002639677
Greece,Elec_Demand,m3_d4_t14,2023,0.002536058
Greece,Elec_Demand,m3_d4_t15,2023,0.002445214
Greece,Elec_Demand,m3_d4_t16,2023,0.00244001
Greece,Elec_Demand,m3_d4_t17,2023,0.002636365
Greece,Elec_Demand,m3_d4_t18,2023,0.002866787
Greece,Elec_Demand,m3_d4_t19,2023,0.002877196
Greece,Elec_Demand,m3_d4_t20,2023,0.002744715
Greece,Elec_Demand,m3_d4_t21,2023,0.002550252
Greece,Elec_Demand,m3_d4_t22,2023,0.002371404
Greece,Elec_Demand,m3_d4_t23,2023,0.002128207
Greece,Elec_Demand,m3_d4_t24,2023,0.001983425
Greece,Elec_Demand,m3_d5_t1,2023,0.000522997
Greece,Elec_Demand,m3_d5_t2,2023,0.000515642
Greece,Elec_Demand,m3_d5_t3,2023,0.000537837
Greece,Elec_Demand,m3_d5_t4,2023,0.000591259
Greece,Elec_Demand,m3_d5_t5,2023,0.000678232
Greece,Elec_Demand,m3_d5_t6,2023,0.000740429
Greece,Elec_Demand,m3_d5_t7,2023,0.000783528
Greece,Elec_Demand,m3_d5_t8,2023,0.000790109
Greece,Elec_Demand,m3_d5_t9,2023,0.000777464
Greece,Elec_Demand,m3_d5_t10,2023,0.000779012
Greece,Elec_Demand,m3_d5_t11,2023,0.000767269
Greece,Elec_Demand,m3_d5_t12,2023,0.00072817
Greece,Elec_Demand,m3_d5_t13,2023,0.000701717
Greece,Elec_Demand,m3_d5_t14,2023,0.000664167
Greece,Elec_Demand,m3_d5_t15,2023,0.000668296
Greece,Elec_Demand,m3_d5_t16,2023,0.000672425
Greece,Elec_Demand,m3_d5_t17,2023,0.000736687
Greece,Elec_Demand,m3_d5_t18,2023,0.000806497
Greece,Elec_Demand,m3_d5_t19,2023,0.00076856
Greece,Elec_Demand,m3_d5_t20,2023,0.000701975
