REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
Greece,ALBANIA,m4_d3_t13,2023,9.862622333
Greece,ALBANIA,m4_d3_t14,2023,9.547876496
Greece,ALBANIA,m4_d3_t15,2023,10.21956873
Greece,ALBANIA,m4_d3_t16,2023,11.86890725
Greece,ALBANIA,m4_d3_t17,2023,13.82068311
Greece,ALBANIA,m4_d3_t18,2023,18.11283164
Greece,ALBANIA,m4_d3_t19,2023,21.45195088
Greece,ALBANIA,m4_d3_t20,2023,25.40473658
Greece,ALBANIA,m4_d3_t21,2023,24.7998619
Greece,ALBANIA,m4_d3_t22,2023,21.45195088
Greece,ALBANIA,m4_d3_t23,2023,20.04526557
Greece,ALBANIA,m4_d3_t24,2023,16.96814147
Greece,ALBANIA,m4_d4_t1,2023,17.23717004
Greece,ALBANIA,m4_d4_t2,2023,19.60567641
Greece,ALBANIA,m4_d4_t3,2023,15.69860798
Greece,ALBANIA,m4_d4_t4,2023,12.87117053
Greece,ALBANIA,m4_d4_t5,2023,11.92165795
Greece,ALBANIA,m4_d4_t6,2023,15.75311704
Greece,ALBANIA,m4_d4_t7,2023,14.65238579
Greece,ALBANIA,m4_d4_t8,2023,19.19422096
Greece,ALBANIA,m4_d4_t9,2023,14.59436002
Greece,ALBANIA,m4_d4_t10,2023,1.406685303
Greece,ALBANIA,m4_d4_t11,2023,3.340877595
Greece,ALBANIA,m4_d4_t12,2023,0.527506989
Greece,ALBANIA,m4_d4_t13,2023,0.527506989
Greece,ALBANIA,m4_d4_t14,2023,0.879178315
Greece,ALBANIA,m4_d4_t15,2023,2.110027955
Greece,ALBANIA,m4_d4_t16,2023,3.692548921
Greece,ALBANIA,m4_d4_t17,2023,6.324808795
Greece,ALBANIA,m4_d4_t18,2023,10.63454089
Greece,ALBANIA,m4_d4_t19,2023,15.77421732
Greece,ALBANIA,m4_d4_t20,2023,23.71495586
Greece,ALBANIA,m4_d4_t21,2023,22.58257419
Greece,ALBANIA,m4_d4_t22,2023,21.11962147
Greece,ALBANIA,m4_d4_t23,2023,17.41652241
Greece,ALBANIA,m4_d4_t24,2023,14.28664761
Greece,ALBANIA,m4_d5_t1,2023,17.61873342
Greece,ALBANIA,m4_d5_t2,2023,16.98572504
Greece,ALBANIA,m4_d5_t3,2023,17.40773063
Greece,ALBANIA,m4_d5_t4,2023,17.2670621
Greece,ALBANIA,m4_d5_t5,2023,17.3725635
Greece,ALBANIA,m4_d5_t6,2023,19.97493131
Greece,ALBANIA,m4_d5_t7,2023,23.13997324
Greece,ALBANIA,m4_d5_t8,2023,26.03246989
Greece,ALBANIA,m4_d5_t9,2023,24.83327067
Greece,ALBANIA,m4_d5_t10,2023,20.30022728
Greece,ALBANIA,m4_d5_t11,2023,13.22811692
Greece,ALBANIA,m4_d5_t12,2023,12.09749361
Greece,ALBANIA,m4_d5_t13,2023,11.05478813
