REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
EL62,Biomass,Elec_Transmission,1,2025,1
EL62,Biomass,Elec_Transmission,1,2030,1
EL62,Biomass,Elec_Transmission,1,2035,1
EL62,Biomass,Elec_Transmission,1,2040,1
EL62,Biomass,Elec_Transmission,1,2045,1
EL62,Biomass,Elec_Transmission,1,2050,1
EL62,Biomass_CCS,Elec_Transmission,1,2023,1
EL62,Biomass_CCS,Elec_Transmission,1,2025,1
EL62,Biomass_CCS,Elec_Transmission,1,2030,1
EL62,Biomass_CCS,Elec_Transmission,1,2035,1
EL62,Biomass_CCS,Elec_Transmission,1,2040,1
EL62,Biomass_CCS,Elec_Transmission,1,2045,1
