REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL51,BiomassImports,1,2023,9.92605234
EL51,BiomassImports,1,2025,9.92605234
EL51,BiomassImports,1,2030,9.92605234
EL51,BiomassImports,1,2035,9.92605234
EL51,BiomassImports,1,2040,9.92605234
EL51,BiomassImports,1,2045,9.92605234
EL51,BiomassImports,1,2050,9.92605234
EL52,BiomassImports,1,2023,9.92605234
EL52,BiomassImports,1,2025,9.92605234
EL52,BiomassImports,1,2030,9.92605234
EL52,BiomassImports,1,2035,9.92605234
EL52,BiomassImports,1,2040,9.92605234
EL52,BiomassImports,1,2045,9.92605234
EL52,BiomassImports,1,2050,9.92605234
EL53,BiomassImports,1,2023,9.92605234
EL53,BiomassImports,1,2025,9.92605234
EL53,BiomassImports,1,2030,9.92605234
EL53,BiomassImports,1,2035,9.92605234
EL53,BiomassImports,1,2040,9.92605234
EL53,BiomassImports,1,2045,9.92605234
EL53,BiomassImports,1,2050,9.92605234
EL54,BiomassImports,1,2023,9.92605234
EL54,BiomassImports,1,2025,9.92605234
EL54,BiomassImports,1,2030,9.92605234
EL54,BiomassImports,1,2035,9.92605234
EL54,BiomassImports,1,2040,9.92605234
EL54,BiomassImports,1,2045,9.92605234
EL54,BiomassImports,1,2050,9.92605234
EL61,BiomassImports,1,2023,9.92605234
EL61,BiomassImports,1,2025,9.92605234
EL61,BiomassImports,1,2030,9.92605234
EL61,BiomassImports,1,2035,9.92605234
EL61,BiomassImports,1,2040,9.92605234
EL61,BiomassImports,1,2045,9.92605234
EL61,BiomassImports,1,2050,9.92605234
EL62,BiomassImports,1,2023,9.92605234
EL62,BiomassImports,1,2025,9.92605234
EL62,BiomassImports,1,2030,9.92605234
EL62,BiomassImports,1,2035,9.92605234
EL62,BiomassImports,1,2040,9.92605234
EL62,BiomassImports,1,2045,9.92605234
EL62,BiomassImports,1,2050,9.92605234
EL63,BiomassImports,1,2023,9.92605234
EL63,BiomassImports,1,2025,9.92605234
EL63,BiomassImports,1,2030,9.92605234
EL63,BiomassImports,1,2035,9.92605234
EL63,BiomassImports,1,2040,9.92605234
EL63,BiomassImports,1,2045,9.92605234
EL63,BiomassImports,1,2050,9.92605234
EL64,BiomassImports,1,2023,9.92605234
EL64,BiomassImports,1,2025,9.92605234
EL64,BiomassImports,1,2030,9.92605234
EL64,BiomassImports,1,2035,9.92605234
EL64,BiomassImports,1,2040,9.92605234
EL64,BiomassImports,1,2045,9.92605234
EL64,BiomassImports,1,2050,9.92605234
EL30,BiomassImports,1,2023,9.92605234
EL30,BiomassImports,1,2025,9.92605234
EL30,BiomassImports,1,2030,9.92605234
EL30,BiomassImports,1,2035,9.92605234
EL30,BiomassImports,1,2040,9.92605234
EL30,BiomassImports,1,2045,9.92605234
EL30,BiomassImports,1,2050,9.92605234
EL65,BiomassImports,1,2023,9.92605234
EL65,BiomassImports,1,2025,9.92605234
EL65,BiomassImports,1,2030,9.92605234
EL65,BiomassImports,1,2035,9.92605234
EL65,BiomassImports,1,2040,9.92605234
EL65,BiomassImports,1,2045,9.92605234
EL65,BiomassImports,1,2050,9.92605234
EL51,BiomassProduction,1,2023,4.96302617
EL51,BiomassProduction,1,2025,4.96302617
EL51,BiomassProduction,1,2030,4.96302617
EL51,BiomassProduction,1,2035,4.96302617
EL51,BiomassProduction,1,2040,4.96302617
EL51,BiomassProduction,1,2045,4.96302617
EL51,BiomassProduction,1,2050,4.96302617
