REGION,TECHNOLOGY,YEAR,VALUE
EL52,Elec_Network,2045,994.51
EL52,Elec_Network,2050,994.51
EL52,Gas_CCS,2023,3019
EL52,Gas_CCS,2025,2856
EL52,Gas_CCS,2030,2450
EL52,Gas_CCS,2035,2363
EL52,Gas_CCS,2040,2275
EL52,Gas_CCS,2045,2188
EL52,Gas_CCS,2050,2100
EL52,Geothermal_HI,2023,2825
EL52,Geothermal_HI,2025,2775
EL52,Geothermal_HI,2030,2650
EL52,Geothermal_HI,2035,2600
EL52,Geothermal_HI,2040,2550
EL52,Geothermal_HI,2045,2500
EL52,Geothermal_HI,2050,2450
EL52,Geothermal_ME,2023,2675
EL52,Geothermal_ME,2025,2751
EL52,Geothermal_ME,2030,2940
EL52,Geothermal_ME,2035,2953
EL52,Geothermal_ME,2040,2968
EL52,Geothermal_ME,2045,2982
EL52,Geothermal_ME,2050,2996
EL52,HydroStor,2023,2650
EL52,HydroStor,2025,2650
EL52,HydroStor,2030,2650
EL52,HydroStor,2035,2650
EL52,HydroStor,2040,2650
EL52,HydroStor,2045,2650
EL52,HydroStor,2050,2650
EL52,OCGT,2023,500
EL52,OCGT,2025,500
EL52,OCGT,2030,500
EL52,OCGT,2035,500
EL52,OCGT,2040,500
EL52,OCGT,2045,500
EL52,OCGT,2050,500
EL52,OffshoreWind,2023,3120
EL52,OffshoreWind,2025,2840
EL52,OffshoreWind,2030,2140
EL52,OffshoreWind,2035,1965
EL52,OffshoreWind,2040,1790
EL52,OffshoreWind,2045,1615
EL52,OffshoreWind,2050,1440
EL52,PV,2023,750
EL52,PV,2025,667
EL52,PV,2030,460
EL52,PV,2035,425
EL52,PV,2040,390
EL52,PV,2045,355
EL52,PV,2050,320
EL52,RooftopPV,2023,1255
EL52,RooftopPV,2025,1125
EL52,RooftopPV,2030,800
EL52,RooftopPV,2035,743
EL52,RooftopPV,2040,685
EL52,RooftopPV,2045,628
EL52,RooftopPV,2050,570
EL52,RoR,2023,3900
EL52,RoR,2025,3900
EL52,RoR,2030,3900
EL52,RoR,2035,3888
EL52,RoR,2040,3875
EL52,RoR,2045,3863
EL52,RoR,2050,3850
EL52,Wind,2023,1630
EL52,Wind,2025,1601
EL52,Wind,2030,1530
EL52,Wind,2035,1509
EL52,Wind,2040,1487
EL52,Wind,2045,1466
EL52,Wind,2050,1444
EL53,BackStop,2023,99999
EL53,BackStop,2025,99999
EL53,BackStop,2030,99999
EL53,BackStop,2035,99999
EL53,BackStop,2040,99999
EL53,BackStop,2045,99999
EL53,BackStop,2050,99999
EL53,Batteries_New,2023,359.2827058
EL53,Batteries_New,2025,311.3593197
EL53,Batteries_New,2030,317.3839866
EL53,Batteries_New,2035,306.440749
EL53,Batteries_New,2040,295.0258889
EL53,Batteries_New,2045,283.0305775
EL53,Batteries_New,2050,270.3097124
EL53,Biomass,2023,2387.5
EL53,Biomass,2025,2362.5
EL53,Biomass,2030,2300
EL53,Biomass,2035,2275
EL53,Biomass,2040,2250
EL53,Biomass,2045,2225
EL53,Biomass,2050,2200
EL53,Biomass_CCS,2023,5675
EL53,Biomass_CCS,2025,5450
EL53,Biomass_CCS,2030,5150
EL53,Biomass_CCS,2035,4913
EL53,Biomass_CCS,2040,4675
EL53,Biomass_CCS,2045,4438
EL53,Biomass_CCS,2050,4200
EL53,CCGT,2023,1000
EL53,CCGT,2025,1000
EL53,CCGT,2030,1000
EL53,CCGT,2035,1000
EL53,CCGT,2040,1000
EL53,CCGT,2045,1000
EL53,CCGT,2050,1000
EL53,Elec_Network,2023,994.51
EL53,Elec_Network,2025,994.51
EL53,Elec_Network,2030,994.51
EL53,Elec_Network,2035,994.51
EL53,Elec_Network,2040,994.51
EL53,Elec_Network,2045,994.51
EL53,Elec_Network,2050,994.51
EL53,Gas_CCS,2023,3019
EL53,Gas_CCS,2025,2856
EL53,Gas_CCS,2030,2450
EL53,Gas_CCS,2035,2363
EL53,Gas_CCS,2040,2275
EL53,Gas_CCS,2045,2188
EL53,Gas_CCS,2050,2100
EL53,Geothermal_HI,2023,2825
EL53,Geothermal_HI,2025,2775
EL53,Geothermal_HI,2030,2650
EL53,Geothermal_HI,2035,2600
EL53,Geothermal_HI,2040,2550
EL53,Geothermal_HI,2045,2500
EL53,Geothermal_HI,2050,2450
EL53,Geothermal_ME,2023,2675
EL53,Geothermal_ME,2025,2751
EL53,Geothermal_ME,2030,2940
EL53,Geothermal_ME,2035,2953
EL53,Geothermal_ME,2040,2968
EL53,Geothermal_ME,2045,2982
EL53,Geothermal_ME,2050,2996
EL53,HydroStor,2023,2650
EL53,HydroStor,2025,2650
EL53,HydroStor,2030,2650
EL53,HydroStor,2035,2650
EL53,HydroStor,2040,2650
EL53,HydroStor,2045,2650
EL53,HydroStor,2050,2650
EL53,OCGT,2023,500
EL53,OCGT,2025,500
EL53,OCGT,2030,500
EL53,OCGT,2035,500
EL53,OCGT,2040,500
EL53,OCGT,2045,500
EL53,OCGT,2050,500
EL53,OffshoreWind,2023,3120
EL53,OffshoreWind,2025,2840
EL53,OffshoreWind,2030,2140
EL53,OffshoreWind,2035,1965
EL53,OffshoreWind,2040,1790
EL53,OffshoreWind,2045,1615
EL53,OffshoreWind,2050,1440
EL53,PV,2023,750
EL53,PV,2025,667
EL53,PV,2030,460
EL53,PV,2035,425
EL53,PV,2040,390
EL53,PV,2045,355
EL53,PV,2050,320
EL53,RooftopPV,2023,1255
EL53,RooftopPV,2025,1125
EL53,RooftopPV,2030,800
EL53,RooftopPV,2035,743
EL53,RooftopPV,2040,685
EL53,RooftopPV,2045,628
EL53,RooftopPV,2050,570
EL53,RoR,2023,3900
EL53,RoR,2025,3900
EL53,RoR,2030,3900
EL53,RoR,2035,3888
EL53,RoR,2040,3875
EL53,RoR,2045,3863
EL53,RoR,2050,3850
EL53,Wind,2023,1630
EL53,Wind,2025,1601
EL53,Wind,2030,1530
EL53,Wind,2035,1509
EL53,Wind,2040,1487
EL53,Wind,2045,1466
EL53,Wind,2050,1444
EL54,BackStop,2023,99999
EL54,BackStop,2025,99999
EL54,BackStop,2030,99999
EL54,BackStop,2035,99999
EL54,BackStop,2040,99999
EL54,BackStop,2045,99999
EL54,BackStop,2050,99999
EL54,Batteries_New,2023,359.2827058
EL54,Batteries_New,2025,311.3593197
EL54,Batteries_New,2030,317.3839866
EL54,Batteries_New,2035,306.440749
EL54,Batteries_New,2040,295.0258889
EL54,Batteries_New,2045,283.0305775
EL54,Batteries_New,2050,270.3097124
EL54,Biomass,2023,2387.5
EL54,Biomass,2025,2362.5
EL54,Biomass,2030,2300
EL54,Biomass,2035,2275
EL54,Biomass,2040,2250
EL54,Biomass,2045,2225
EL54,Biomass,2050,2200
EL54,Biomass_CCS,2023,5675
EL54,Biomass_CCS,2025,5450
EL54,Biomass_CCS,2030,5150
EL54,Biomass_CCS,2035,4913
EL54,Biomass_CCS,2040,4675
EL54,Biomass_CCS,2045,4438
EL54,Biomass_CCS,2050,4200
EL54,CCGT,2023,1000
EL54,CCGT,2025,1000
EL54,CCGT,2030,1000
EL54,CCGT,2035,1000
EL54,CCGT,2040,1000
EL54,CCGT,2045,1000
EL54,CCGT,2050,1000
EL54,Elec_Network,2023,994.51
EL54,Elec_Network,2025,994.51
EL54,Elec_Network,2030,994.51
EL54,Elec_Network,2035,994.51
EL54,Elec_Network,2040,994.51
EL54,Elec_Network,2045,994.51
EL54,Elec_Network,2050,994.51
EL54,Gas_CCS,2023,3019
EL54,Gas_CCS,2025,2856
EL54,Gas_CCS,2030,2450
EL54,Gas_CCS,2035,2363
EL54,Gas_CCS,2040,2275
EL54,Gas_CCS,2045,2188
EL54,Gas_CCS,2050,2100
EL54,Geothermal_HI,2023,2825
EL54,Geothermal_HI,2025,2775
EL54,Geothermal_HI,2030,2650
EL54,Geothermal_HI,2035,2600
EL54,Geothermal_HI,2040,2550
EL54,Geothermal_HI,2045,2500
EL54,Geothermal_HI,2050,2450
EL54,Geothermal_ME,2023,2675
EL54,Geothermal_ME,2025,2751
EL54,Geothermal_ME,2030,2940
EL54,Geothermal_ME,2035,2953
EL54,Geothermal_ME,2040,2968
EL54,Geothermal_ME,2045,2982
EL54,Geothermal_ME,2050,2996
EL54,HydroStor,2023,2650
EL54,HydroStor,2025,2650
EL54,HydroStor,2030,2650
EL54,HydroStor,2035,2650
EL54,HydroStor,2040,2650
EL54,HydroStor,2045,2650
EL54,HydroStor,2050,2650
EL54,OCGT,2023,500
EL54,OCGT,2025,500
EL54,OCGT,2030,500
EL54,OCGT,2035,500
EL54,OCGT,2040,500
EL54,OCGT,2045,500
EL54,OCGT,2050,500
EL54,OffshoreWind,2023,3120
EL54,OffshoreWind,2025,2840
EL54,OffshoreWind,2030,2140
EL54,OffshoreWind,2035,1965
EL54,OffshoreWind,2040,1790
