REGION,HYDROTECHS,SEASON,YEAR,VALUE
EL52,Edeseou,11,2030,0.130781439
EL52,Edeseou,12,2030,0.239320224
EL51,HydroStor,1,2030,0.17027812
EL51,HydroStor,2,2030,0.150170048
EL51,HydroStor,3,2030,0.079824133
EL51,HydroStor,4,2030,0.077478864
EL51,HydroStor,5,2030,0.079030318
EL51,HydroStor,6,2030,0.162441593
EL51,HydroStor,7,2030,0.196518196
EL51,HydroStor,8,2030,0.201003863
EL51,HydroStor,9,2030,0.17082437
EL51,HydroStor,10,2030,0.206131296
EL51,HydroStor,11,2030,0.130781439
EL51,HydroStor,12,2030,0.239320224
EL52,HydroStor,1,2030,0.17027812
EL52,HydroStor,2,2030,0.150170048
EL52,HydroStor,3,2030,0.079824133
EL52,HydroStor,4,2030,0.077478864
EL52,HydroStor,5,2030,0.079030318
EL52,HydroStor,6,2030,0.162441593
EL52,HydroStor,7,2030,0.196518196
EL52,HydroStor,8,2030,0.201003863
EL52,HydroStor,9,2030,0.17082437
EL52,HydroStor,10,2030,0.206131296
EL52,HydroStor,11,2030,0.130781439
EL52,HydroStor,12,2030,0.239320224
EL53,HydroStor,1,2030,0.17027812
EL53,HydroStor,2,2030,0.150170048
EL53,HydroStor,3,2030,0.079824133
EL53,HydroStor,4,2030,0.077478864
EL53,HydroStor,5,2030,0.079030318
EL53,HydroStor,6,2030,0.162441593
EL53,HydroStor,7,2030,0.196518196
EL53,HydroStor,8,2030,0.201003863
EL53,HydroStor,9,2030,0.17082437
EL53,HydroStor,10,2030,0.206131296
EL53,HydroStor,11,2030,0.130781439
EL53,HydroStor,12,2030,0.239320224
EL54,HydroStor,1,2030,0.17027812
EL54,HydroStor,2,2030,0.150170048
EL54,HydroStor,3,2030,0.079824133
EL54,HydroStor,4,2030,0.077478864
EL54,HydroStor,5,2030,0.079030318
EL54,HydroStor,6,2030,0.162441593
EL54,HydroStor,7,2030,0.196518196
EL54,HydroStor,8,2030,0.201003863
EL54,HydroStor,9,2030,0.17082437
EL54,HydroStor,10,2030,0.206131296
EL54,HydroStor,11,2030,0.130781439
EL54,HydroStor,12,2030,0.239320224
EL61,HydroStor,1,2030,0.17027812
EL61,HydroStor,2,2030,0.150170048
EL61,HydroStor,3,2030,0.079824133
EL61,HydroStor,4,2030,0.077478864
EL61,HydroStor,5,2030,0.079030318
EL61,HydroStor,6,2030,0.162441593
EL61,HydroStor,7,2030,0.196518196
EL61,HydroStor,8,2030,0.201003863
EL61,HydroStor,9,2030,0.17082437
EL61,HydroStor,10,2030,0.206131296
EL61,HydroStor,11,2030,0.130781439
EL61,HydroStor,12,2030,0.239320224
