REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL63,Gas_CCS,CO2,1,2045,0.0102
EL63,Gas_CCS,CO2,1,2050,0.0102
EL63,Geothermal_HI,CO2,1,2023,0.138888885
EL63,Geothermal_HI,CO2,1,2025,0.138888885
EL63,Geothermal_HI,CO2,1,2030,0.138888885
EL63,Geothermal_HI,CO2,1,2035,0.138888885
EL63,Geothermal_HI,CO2,1,2040,0.138888885
EL63,Geothermal_HI,CO2,1,2045,0.138888885
EL63,Geothermal_HI,CO2,1,2050,0.138888885
EL63,Geothermal_ME,CO2,1,2023,0.138888885
EL63,Geothermal_ME,CO2,1,2025,0.138888885
EL63,Geothermal_ME,CO2,1,2030,0.138888885
EL63,Geothermal_ME,CO2,1,2035,0.138888885
EL63,Geothermal_ME,CO2,1,2040,0.138888885
EL63,Geothermal_ME,CO2,1,2045,0.138888885
EL63,Geothermal_ME,CO2,1,2050,0.138888885
EL64,Gas_CCS,CO2,1,2023,0.0102
EL64,Gas_CCS,CO2,1,2025,0.0102
EL64,Gas_CCS,CO2,1,2030,0.0102
EL64,Gas_CCS,CO2,1,2035,0.0102
EL64,Gas_CCS,CO2,1,2040,0.0102
EL64,Gas_CCS,CO2,1,2045,0.0102
EL64,Gas_CCS,CO2,1,2050,0.0102
EL64,Geothermal_HI,CO2,1,2023,0.138888885
EL64,Geothermal_HI,CO2,1,2025,0.138888885
EL64,Geothermal_HI,CO2,1,2030,0.138888885
EL64,Geothermal_HI,CO2,1,2035,0.138888885
EL64,Geothermal_HI,CO2,1,2040,0.138888885
EL64,Geothermal_HI,CO2,1,2045,0.138888885
EL64,Geothermal_HI,CO2,1,2050,0.138888885
EL64,Geothermal_ME,CO2,1,2023,0.138888885
EL64,Geothermal_ME,CO2,1,2025,0.138888885
EL64,Geothermal_ME,CO2,1,2030,0.138888885
EL64,Geothermal_ME,CO2,1,2035,0.138888885
EL64,Geothermal_ME,CO2,1,2040,0.138888885
EL64,Geothermal_ME,CO2,1,2045,0.138888885
EL64,Geothermal_ME,CO2,1,2050,0.138888885
EL30,Gas_CCS,CO2,1,2023,0.0102
EL30,Gas_CCS,CO2,1,2025,0.0102
EL30,Gas_CCS,CO2,1,2030,0.0102
EL30,Gas_CCS,CO2,1,2035,0.0102
EL30,Gas_CCS,CO2,1,2040,0.0102
EL30,Gas_CCS,CO2,1,2045,0.0102
EL30,Gas_CCS,CO2,1,2050,0.0102
EL30,Geothermal_HI,CO2,1,2023,0.138888885
EL30,Geothermal_HI,CO2,1,2025,0.138888885
EL30,Geothermal_HI,CO2,1,2030,0.138888885
EL30,Geothermal_HI,CO2,1,2035,0.138888885
EL30,Geothermal_HI,CO2,1,2040,0.138888885
EL30,Geothermal_HI,CO2,1,2045,0.138888885
EL30,Geothermal_HI,CO2,1,2050,0.138888885
EL30,Geothermal_ME,CO2,1,2023,0.138888885
EL30,Geothermal_ME,CO2,1,2025,0.138888885
EL30,Geothermal_ME,CO2,1,2030,0.138888885
EL30,Geothermal_ME,CO2,1,2035,0.138888885
EL30,Geothermal_ME,CO2,1,2040,0.138888885
EL30,Geothermal_ME,CO2,1,2045,0.138888885
EL30,Geothermal_ME,CO2,1,2050,0.138888885
EL65,Gas_CCS,CO2,1,2023,0.0102
EL65,Gas_CCS,CO2,1,2025,0.0102
EL65,Gas_CCS,CO2,1,2030,0.0102
EL65,Gas_CCS,CO2,1,2035,0.0102
EL65,Gas_CCS,CO2,1,2040,0.0102
EL65,Gas_CCS,CO2,1,2045,0.0102
EL65,Gas_CCS,CO2,1,2050,0.0102
EL65,Geothermal_HI,CO2,1,2023,0.138888885
EL65,Geothermal_HI,CO2,1,2025,0.138888885
EL65,Geothermal_HI,CO2,1,2030,0.138888885
EL65,Geothermal_HI,CO2,1,2035,0.138888885
EL65,Geothermal_HI,CO2,1,2040,0.138888885
EL65,Geothermal_HI,CO2,1,2045,0.138888885
EL65,Geothermal_HI,CO2,1,2050,0.138888885
EL65,Geothermal_ME,CO2,1,2023,0.138888885
EL65,Geothermal_ME,CO2,1,2025,0.138888885
EL65,Geothermal_ME,CO2,1,2030,0.138888885
EL65,Geothermal_ME,CO2,1,2035,0.138888885
EL65,Geothermal_ME,CO2,1,2040,0.138888885
EL65,Geothermal_ME,CO2,1,2045,0.138888885
EL65,Geothermal_ME,CO2,1,2050,0.138888885
EL64,Iron_I,CO2,1,2023,0.139575554
EL64,Iron_I,CO2,1,2025,0.139575554
EL64,Iron_I,CO2,1,2030,0.139575554
EL64,Iron_I,CO2,1,2035,0.139575554
EL64,Iron_I,CO2,1,2040,0.139575554
EL64,Iron_I,CO2,1,2045,0.139575554
EL64,Iron_I,CO2,1,2050,0.139575554
EL64,Iron_II,CO2,1,2023,0.139575554
EL64,Iron_II,CO2,1,2025,0.139575554
EL64,Iron_II,CO2,1,2030,0.139575554
EL64,Iron_II,CO2,1,2035,0.139575554
EL64,Iron_II,CO2,1,2040,0.139575554
EL64,Iron_II,CO2,1,2045,0.139575554
EL64,Iron_II,CO2,1,2050,0.139575554
